date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:49	1705/1705	---M-Z	200	added ('OK')	text/css	etag:%226a9-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/dropbutton.component.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/dropbutton.componentf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:50	437/437	---M-Z	200	added ('OK')	text/css	etag:%221b5-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/featured-top.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/featured-topf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:51	218/218	---M-Z	200	added ('OK')	text/css	etag:%22da-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/feed-icon.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/feed-iconf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:52	2088/2088	---M-Z	200	added ('OK')	text/css	etag:%22828-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/field.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/fieldf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:53	6969/6969	---M-Z	200	added ('OK')	text/css	etag:%221b39-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/form.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/formf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:54	138/138	---M-Z	200	added ('OK')	text/css	etag:%228a-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/forum.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/forumf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:55	4650/4650	---M-Z	200	added ('OK')	text/css	etag:%22122a-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/header.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/headerf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:56	136/136	---M-Z	200	added ('OK')	text/css	etag:%2288-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/help.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/helpf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:57	209/209	---M-Z	200	added ('OK')	text/css	etag:%22d1-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/highlighted.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/highlightedf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:58	658/658	---M-Z	200	added ('OK')	text/css	etag:%22292-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/item-list.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/item-listf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:14:59	192/192	---M-Z	200	added ('OK')	text/css	etag:%22c0-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/list-group.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/list-groupf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:15:00	218/218	---M-Z	200	added ('OK')	text/css	etag:%22da-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/list.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/listf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
17:15:01	1002/1002	---M-Z	200	added ('OK')	text/css	etag:%223ea-640cd6c04ef40-gzip%22	https://www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/main-content.css?t5nwxf	./esthetique-site/www.esthetique-lyon-chirurgie.com/themes/contrib/bartik/css/components/main-contentf993.css	(from https://www.esthetique-lyon-chirurgie.com/)
